regime,round,cluster_id,label,n_agents_with_centroid,within_cluster_distance
vervet,19,cluster_2,mimsy,3,0.0107849
vervet,19,cluster_2,vorpal,3,0.01102295
vervet,20,cluster_1,slithy,3,0.0133454
vervet,20,cluster_1,mimsy,3,0.01138886
vervet,20,cluster_1,vorpal,3,0.01542201
vervet,20,cluster_2,slithy,3,0.01294893
vervet,20,cluster_2,mimsy,3,0.0107849
vervet,20,cluster_2,vorpal,3,0.01102295
vervet,21,cluster_1,slithy,3,0.0133454
vervet,21,cluster_1,mimsy,3,0.01138886
vervet,21,cluster_1,vorpal,3,0.01542201
vervet,21,cluster_2,slithy,3,0.01294893
vervet,21,cluster_2,mimsy,3,0.0107849
vervet,21,cluster_2,vorpal,3,0.01102295
vervet,22,cluster_1,slithy,3,0.0133454
vervet,22,cluster_1,mimsy,3,0.01138886
vervet,22,cluster_1,vorpal,3,0.01542201
vervet,22,cluster_2,slithy,3,0.01294893
vervet,22,cluster_2,mimsy,3,0.0107849
vervet,22,cluster_2,vorpal,3,0.01102295
vervet,23,cluster_1,slithy,3,0.0133454
vervet,23,cluster_1,mimsy,3,0.01138886
vervet,23,cluster_1,vorpal,3,0.01542201
vervet,23,cluster_2,slithy,3,0.01294893
vervet,23,cluster_2,mimsy,3,0.0107849
vervet,23,cluster_2,vorpal,3,0.01102295
vervet,24,cluster_1,slithy,3,0.0133454
vervet,24,cluster_1,mimsy,3,0.01138886
vervet,24,cluster_1,vorpal,3,0.01542201
vervet,24,cluster_2,slithy,3,0.01294893
vervet,24,cluster_2,mimsy,3,0.0107849
vervet,24,cluster_2,vorpal,3,0.01102295
vervet,25,cluster_1,slithy,3,0.0133454
vervet,25,cluster_1,mimsy,3,0.01138886
vervet,25,cluster_1,vorpal,3,0.01542201
vervet,25,cluster_2,slithy,3,0.01294893
vervet,25,cluster_2,mimsy,3,0.0107849
vervet,25,cluster_2,vorpal,3,0.01102295
raven,1,cluster_1,slithy,3,0.10313354
raven,1,cluster_1,mimsy,3,0.05749647
raven,1,cluster_1,vorpal,3,0.06771213
raven,1,cluster_2,slithy,3,0.06428635
raven,1,cluster_2,mimsy,3,0.04080558
raven,1,cluster_2,vorpal,3,0.0576488
raven,2,cluster_1,slithy,3,0.04007282
raven,2,cluster_1,mimsy,3,0.04040345
raven,2,cluster_1,vorpal,3,0.0508725
raven,2,cluster_2,slithy,3,0.05585684
raven,2,cluster_2,mimsy,3,0.02736396
raven,2,cluster_2,vorpal,3,0.03476904
raven,3,cluster_1,slithy,3,0.03875365
raven,3,cluster_1,mimsy,3,0.03290447
raven,3,cluster_1,vorpal,3,0.04212387
raven,3,cluster_2,slithy,3,0.05585684
raven,3,cluster_2,mimsy,3,0.02736396
raven,3,cluster_2,vorpal,3,0.03476904
raven,4,cluster_1,slithy,3,0.03875365
raven,4,cluster_1,mimsy,3,0.03290447
raven,4,cluster_1,vorpal,3,0.04212387
raven,4,cluster_2,slithy,3,0.05585684
raven,4,cluster_2,mimsy,3,0.02736396
raven,4,cluster_2,vorpal,3,0.02815763
raven,5,cluster_1,slithy,3,0.02114546
raven,5,cluster_1,mimsy,3,0.01242455
