regime,round,label,between_cluster_distance,mean_within_cluster_distance,lexical_divergence,is_bridge_round
raven,9,mimsy,0.00624877,0.01204589,-0.00579712,False
raven,9,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,10,slithy,0.01099795,0.01924155,-0.0082436,True
raven,10,mimsy,0.00429308,0.0116579,-0.00736482,True
raven,10,vorpal,0.00685149,0.01436197,-0.00751047,True
raven,11,slithy,0.01026088,0.0179786,-0.00771772,False
raven,11,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,11,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,12,slithy,0.01148432,0.01721444,-0.00573011,False
raven,12,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,12,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,13,slithy,0.01148432,0.01721444,-0.00573011,False
raven,13,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,13,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,14,slithy,0.01148432,0.01721444,-0.00573011,False
raven,14,mimsy,0.00429308,0.0116579,-0.00736482,False
raven,14,vorpal,0.00685149,0.01436197,-0.00751047,False
raven,15,slithy,0.00977969,0.01392022,-0.00414053,True
raven,15,mimsy,0.00375122,0.01184709,-0.00809587,True
raven,15,vorpal,0.00608879,0.01322248,-0.00713368,True
raven,16,slithy,0.00977969,0.01392022,-0.00414053,False
raven,16,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,16,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,17,slithy,0.00977969,0.01392022,-0.00414053,False
raven,17,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,17,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,18,slithy,0.00977969,0.01392022,-0.00414053,False
raven,18,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,18,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,19,slithy,0.00977969,0.01392022,-0.00414053,False
raven,19,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,19,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,20,slithy,0.00704783,0.01521211,-0.00816428,True
raven,20,mimsy,0.00375122,0.01184709,-0.00809587,True
raven,20,vorpal,0.00608879,0.01322248,-0.00713368,True
raven,21,slithy,0.00704783,0.01521211,-0.00816428,False
raven,21,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,21,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,22,slithy,0.00704783,0.01521211,-0.00816428,False
raven,22,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,22,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,23,slithy,0.00704783,0.01521211,-0.00816428,False
raven,23,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,23,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,24,slithy,0.00704783,0.01521211,-0.00816428,False
raven,24,mimsy,0.00375122,0.01184709,-0.00809587,False
raven,24,vorpal,0.00608879,0.01322248,-0.00713368,False
raven,25,slithy,0.00704783,0.01521211,-0.00816428,True
raven,25,mimsy,0.00375122,0.01184709,-0.00809587,True
raven,25,vorpal,0.00608879,0.01322248,-0.00713368,True
latin,1,slithy,0.1458562,0.24578565,-0.09992945,False
latin,1,mimsy,0.07939279,0.08799446,-0.00860167,False
latin,1,vorpal,0.12769961,0.2365939,-0.10889429,False
latin,2,slithy,0.13986003,0.20610453,-0.06624449,False
latin,2,mimsy,0.07167912,0.07566453,-0.00398541,False
latin,2,vorpal,0.12645447,0.19438098,-0.06792651,False
latin,3,slithy,0.15905106,0.18053201,-0.02148095,False
latin,3,mimsy,0.07099217,0.0684253,0.00256687,False
latin,3,vorpal,0.12645447,0.19438098,-0.06792651,False
latin,4,slithy,0.14703739,0.17194613,-0.02490874,False
latin,4,mimsy,0.07155406,0.0609384,0.01061567,False
latin,4,vorpal,0.12635684,0.18542608,-0.05906924,False
latin,5,slithy,0.14703739,0.17194613,-0.02490874,False
latin,5,mimsy,0.07155406,0.0609384,0.01061567,False
latin,5,vorpal,0.12946117,0.15499748,-0.02553631,False
latin,6,slithy,0.14703739,0.17194613,-0.02490874,False
latin,6,mimsy,0.07155406,0.0609384,0.01061567,False
latin,6,vorpal,0.08596867,0.13993669,-0.05396801,False
latin,7,slithy,0.14703739,0.17194613,-0.02490874,False
latin,7,mimsy,0.07155406,0.0609384,0.01061567,False
latin,7,vorpal,0.08225465,0.13214388,-0.04988924,False
latin,8,slithy,0.12838936,0.15350832,-0.02511896,False
latin,8,mimsy,0.07155406,0.0609384,0.01061567,False
latin,8,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,9,slithy,0.12838936,0.15350832,-0.02511896,False
latin,9,mimsy,0.07155406,0.0609384,0.01061567,False
latin,9,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,10,slithy,0.12838936,0.15350832,-0.02511896,False
latin,10,mimsy,0.06831568,0.05724144,0.01107424,False
latin,10,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,11,slithy,0.12838936,0.15350832,-0.02511896,False
latin,11,mimsy,0.06831568,0.05724144,0.01107424,False
latin,11,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,12,slithy,0.12838936,0.15350832,-0.02511896,False
latin,12,mimsy,0.06713939,0.0548999,0.01223949,False
latin,12,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,13,slithy,0.12838936,0.15350832,-0.02511896,False
latin,13,mimsy,0.06713939,0.0548999,0.01223949,False
latin,13,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,14,slithy,0.1256721,0.14763656,-0.02196446,False
latin,14,mimsy,0.06713939,0.0548999,0.01223949,False
latin,14,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,15,slithy,0.1256721,0.14763656,-0.02196446,False
latin,15,mimsy,0.06713939,0.0548999,0.01223949,False
latin,15,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,16,slithy,0.1256721,0.14763656,-0.02196446,False
latin,16,mimsy,0.06713939,0.0548999,0.01223949,False
latin,16,vorpal,0.08230025,0.11915387,-0.03685362,False
latin,17,slithy,0.1256721,0.14763656,-0.02196446,False
latin,17,mimsy,0.06713939,0.0548999,0.01223949,False
latin,17,vorpal,0.06962353,0.11282315,-0.04319962,False
latin,18,slithy,0.1256721,0.14763656,-0.02196446,False
latin,18,mimsy,0.06713939,0.0548999,0.01223949,False
latin,18,vorpal,0.06665653,0.10402765,-0.03737112,False
latin,19,slithy,0.1256721,0.14763656,-0.02196446,False
latin,19,mimsy,0.06713939,0.0548999,0.01223949,False
latin,19,vorpal,0.06665653,0.10402765,-0.03737112,False
latin,20,slithy,0.1256721,0.14763656,-0.02196446,False
latin,20,mimsy,0.06713939,0.0548999,0.01223949,False
latin,20,vorpal,0.06665653,0.10402765,-0.03737112,False
latin,21,slithy,0.1256721,0.14763656,-0.02196446,False
latin,21,mimsy,0.05848622,0.05656096,0.00192526,False
latin,21,vorpal,0.06665653,0.10402765,-0.03737112,False
latin,22,slithy,0.1256721,0.14763656,-0.02196446,False
latin,22,mimsy,0.05848622,0.05656096,0.00192526,False
latin,22,vorpal,0.06665653,0.10402765,-0.03737112,False
latin,23,slithy,0.1256721,0.14763656,-0.02196446,False
latin,23,mimsy,0.05848622,0.05656096,0.00192526,False
latin,23,vorpal,0.06980062,0.08958267,-0.01978206,False
latin,24,slithy,0.1256721,0.14763656,-0.02196446,False
latin,24,mimsy,0.05848622,0.05656096,0.00192526,False
latin,24,vorpal,0.07252043,0.08426055,-0.01174012,False
latin,25,slithy,0.11110651,0.13476768,-0.02366117,False
latin,25,mimsy,0.05848622,0.05656096,0.00192526,False
latin,25,vorpal,0.06577265,0.07344744,-0.00767478,False
