pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
63,apple,possum,fruit_and_vegetables,medium_mammals,False,0.820877,0.666667,Q2
64,apple,rabbit,fruit_and_vegetables,small_mammals,False,0.768719,0.68,Q2
65,apple,raccoon,fruit_and_vegetables,medium_mammals,False,0.836131,0.666667,Q2
66,apple,ray,fruit_and_vegetables,fish,False,0.766321,0.875,Q2
67,apple,road,fruit_and_vegetables,large_man_made_outdoor_things,False,0.822258,0.555556,Q3
68,apple,rocket,fruit_and_vegetables,vehicles_2,False,0.860413,0.6,Q3
69,apple,rose,fruit_and_vegetables,flowers,False,0.766743,0.636364,Q2
70,apple,sea,fruit_and_vegetables,large_natural_outdoor_scenes,False,0.785494,0.692308,Q2
71,apple,seal,fruit_and_vegetables,aquatic_mammals,False,0.756967,0.68,Q2
72,apple,shark,fruit_and_vegetables,fish,False,0.799792,0.68,Q2
73,apple,shrew,fruit_and_vegetables,small_mammals,False,0.788927,0.636364,Q2
74,apple,skunk,fruit_and_vegetables,medium_mammals,False,0.839716,0.619048,Q2
75,apple,skyscraper,fruit_and_vegetables,large_man_made_outdoor_things,False,0.865425,0.578947,Q3
76,apple,snail,fruit_and_vegetables,non_insect_invertebrates,False,0.673951,0.636364,Q4
77,apple,snake,fruit_and_vegetables,reptiles,False,0.757418,0.652174,Q2
78,apple,spider,fruit_and_vegetables,non_insect_invertebrates,False,0.807298,0.636364,Q2
79,apple,squirrel,fruit_and_vegetables,small_mammals,False,0.819103,0.666667,Q2
80,apple,streetcar,fruit_and_vegetables,vehicles_2,False,0.806961,0.619048,Q2
81,apple,sunflower,fruit_and_vegetables,flowers,False,0.75352,0.652174,Q2
82,apple,sweet_pepper,fruit_and_vegetables,fruit_and_vegetables,True,0.396187,0.333333,Q1
83,apple,table,fruit_and_vegetables,household_furniture,False,0.783538,0.857143,Q2
84,apple,tank,fruit_and_vegetables,vehicles_2,False,0.798193,0.619048,Q2
85,apple,telephone,fruit_and_vegetables,household_electrical_devices,False,0.794531,0.6,Q3
86,apple,television,fruit_and_vegetables,household_electrical_devices,False,0.759021,0.619048,Q2
87,apple,tiger,fruit_and_vegetables,large_carnivores,False,0.828674,0.578947,Q3
88,apple,tractor,fruit_and_vegetables,vehicles_2,False,0.799385,0.619048,Q2
89,apple,train,fruit_and_vegetables,vehicles_1,False,0.778188,0.6,Q3
90,apple,trout,fruit_and_vegetables,fish,False,0.77871,0.333333,Q3
91,apple,tulip,fruit_and_vegetables,flowers,False,0.718042,0.636364,Q2
92,apple,turtle,fruit_and_vegetables,reptiles,False,0.846041,0.619048,Q2
93,apple,wardrobe,fruit_and_vegetables,household_furniture,False,0.809086,0.6,Q3
94,apple,whale,fruit_and_vegetables,aquatic_mammals,False,0.824313,0.6,Q3
95,apple,willow_tree,fruit_and_vegetables,trees,False,0.755678,0.636364,Q2
96,apple,wolf,fruit_and_vegetables,large_carnivores,False,0.833767,0.68,Q2
97,apple,woman,fruit_and_vegetables,people,False,0.77054,0.6,Q3
98,apple,worm,fruit_and_vegetables,non_insect_invertebrates,False,0.721271,0.6,Q3
99,aquarium_fish,baby,fish,people,False,0.74301,0.454545,Q3
100,aquarium_fish,bear,fish,large_carnivores,False,0.729285,0.25,Q3
101,aquarium_fish,beaver,fish,aquatic_mammals,False,0.624985,0.809524,Q4
102,aquarium_fish,bed,fish,household_furniture,False,0.806702,0.619048,Q2
103,aquarium_fish,bee,fish,insects,False,0.653902,0.391304,Q1
104,aquarium_fish,beetle,fish,insects,False,0.644301,0.363636,Q1
105,aquarium_fish,bicycle,fish,vehicles_1,False,0.7932,0.6,Q3
106,aquarium_fish,bottle,fish,food_containers,False,0.785463,0.6,Q3
107,aquarium_fish,bowl,fish,food_containers,False,0.69801,0.6,Q1
108,aquarium_fish,boy,fish,people,False,0.735196,0.4,Q3
109,aquarium_fish,bridge,fish,large_man_made_outdoor_things,False,0.803779,0.555556,Q3
110,aquarium_fish,bus,fish,vehicles_1,False,0.800892,0.6,Q3
111,aquarium_fish,butterfly,fish,insects,False,0.66307,0.391304,Q1
112,aquarium_fish,camel,fish,large_omnivores_and_herbivores,False,0.776828,0.28,Q3
113,aquarium_fish,can,fish,food_containers,False,0.768588,0.578947,Q3
114,aquarium_fish,castle,fish,large_man_made_outdoor_things,False,0.813351,0.619048,Q2
115,aquarium_fish,caterpillar,fish,insects,False,0.66912,0.3,Q1
116,aquarium_fish,cattle,fish,large_omnivores_and_herbivores,False,0.757956,0.357143,Q3
117,aquarium_fish,chair,fish,household_furniture,False,0.82572,0.619048,Q2
118,aquarium_fish,chimpanzee,fish,large_omnivores_and_herbivores,False,0.768969,0.333333,Q3
119,aquarium_fish,clock,fish,household_electrical_devices,False,0.797267,0.636364,Q2
120,aquarium_fish,cloud,fish,large_natural_outdoor_scenes,False,0.795175,0.777778,Q2
121,aquarium_fish,cockroach,fish,insects,False,0.712846,0.391304,Q3
122,aquarium_fish,couch,fish,household_furniture,False,0.792394,0.619048,Q2
123,aquarium_fish,crab,fish,non_insect_invertebrates,False,0.635892,0.391304,Q1
124,aquarium_fish,crocodile,fish,reptiles,False,0.624146,0.25,Q1
125,aquarium_fish,cup,fish,food_containers,False,0.789929,0.578947,Q3
126,aquarium_fish,dinosaur,fish,reptiles,False,0.629995,0.25,Q1
127,aquarium_fish,dolphin,fish,aquatic_mammals,False,0.659622,0.333333,Q1
128,aquarium_fish,elephant,fish,large_omnivores_and_herbivores,False,0.792498,0.25,Q3
129,aquarium_fish,flatfish,fish,fish,True,0.45666,0.789474,Q4
130,aquarium_fish,forest,fish,large_natural_outdoor_scenes,False,0.747164,0.882353,Q2
131,aquarium_fish,fox,fish,medium_mammals,False,0.676454,0.28,Q1
132,aquarium_fish,girl,fish,people,False,0.737177,0.428571,Q3
133,aquarium_fish,hamster,fish,small_mammals,False,0.633059,0.25,Q1
134,aquarium_fish,house,fish,large_man_made_outdoor_things,False,0.759739,0.578947,Q3
135,aquarium_fish,kangaroo,fish,large_omnivores_and_herbivores,False,0.725151,0.25,Q3
136,aquarium_fish,keyboard,fish,household_electrical_devices,False,0.895792,0.6,Q3
137,aquarium_fish,lamp,fish,household_electrical_devices,False,0.758571,0.6,Q3
138,aquarium_fish,lawn_mower,fish,vehicles_2,False,0.833997,0.619048,Q2
139,aquarium_fish,leopard,fish,large_carnivores,False,0.730144,0.809524,Q2
140,aquarium_fish,lion,fish,large_carnivores,False,0.742796,0.307692,Q3
141,aquarium_fish,lizard,fish,reptiles,False,0.555309,0.25,Q1
