space,condition,label,round,d_00_01,d_00_02,d_01_02,mean_pairwise_distance
raw,frozen,mimsy,9,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,10,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,11,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,12,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,13,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,14,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,15,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,16,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,17,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,18,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,19,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,20,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,21,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,22,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,23,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,24,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,mimsy,25,0.02353334,0.01934075,0.02602124,0.02296511
raw,frozen,slithy,1,0.03196442,0.02930182,0.03492105,0.03206243
raw,frozen,slithy,2,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,3,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,4,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,5,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,6,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,7,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,8,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,9,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,10,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,11,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,12,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,13,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,14,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,15,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,16,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,17,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,18,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,19,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,20,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,21,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,22,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,23,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,24,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,slithy,25,0.02664542,0.02930182,0.02878839,0.02824521
raw,frozen,vorpal,1,0.02011293,0.01874179,0.01587027,0.01824166
raw,frozen,vorpal,2,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,3,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,4,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,5,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,6,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,7,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,8,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,9,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,10,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,11,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,12,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,13,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,14,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,15,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,16,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,17,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,18,0.01536453,0.01475132,0.01587027,0.01532871
raw,frozen,vorpal,19,0.01536453,0.01475132,0.01587027,0.01532871
