condition,round,majority_agreement,unanimous_agreement,mean_entropy,label_coverage,label_balance_slithy,label_balance_mimsy,label_balance_vorpal,held_out_consensus_accuracy,held_out_inter_agent_agreement,per_agent_accuracy_agent_00,per_agent_accuracy_agent_01,per_agent_accuracy_agent_02
random,3,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,4,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,5,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3111,0.9833,1.0,0.9833,1.0,0.9833
random,6,1.0,0.9556,0.0408,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,7,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9667
random,8,1.0,0.9556,0.0408,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,1.0,0.9667
random,9,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,1.0,0.9667
random,10,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,11,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,1.0,0.9667
random,12,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,13,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,14,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,15,1.0,0.9333,0.0612,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9667
random,16,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9667
random,17,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,1.0,0.9667
random,18,1.0,0.9556,0.0408,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,1.0,0.9833
random,19,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,1.0,0.9833
random,20,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,21,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,22,1.0,0.9556,0.0408,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9667
random,23,1.0,0.9778,0.0204,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,1.0
random,24,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
random,25,1.0,1.0,-0.0,3,0.3333,0.3111,0.3333,0.9833,1.0,0.9833,0.9833,0.9833
