tier,pool_type,learner,n_episodes,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high
near,large,linsvm,30,0.8473,0.8316,0.8616,0.7489,0.7178,0.7772
near,large,random,30,0.344,0.332,0.3562,0.0472,0.0378,0.0578
near,hard,centroid,30,0.8467,0.8316,0.8609,0.3061,0.2683,0.3422
near,hard,exemplar_knn_k3,30,0.8331,0.816,0.8489,0.38,0.3378,0.4189
near,hard,kcentroid_k2,30,0.8358,0.8191,0.8516,0.3,0.2617,0.34
near,hard,logreg,30,0.8429,0.8267,0.858,0.4478,0.4017,0.4906
near,hard,linsvm,30,0.8473,0.8316,0.8616,0.4544,0.4094,0.4961
near,hard,random,30,0.344,0.332,0.3562,0.0989,0.0811,0.1172
near,oov_25,centroid,30,0.8467,0.8316,0.8609,0.6733,0.6433,0.7022
near,oov_25,exemplar_knn_k3,30,0.8331,0.816,0.8489,0.7433,0.7189,0.7667
near,oov_25,kcentroid_k2,30,0.8358,0.8191,0.8516,0.66,0.63,0.6883
near,oov_25,logreg,30,0.8429,0.8267,0.858,0.7628,0.7372,0.7861
near,oov_25,linsvm,30,0.8473,0.8316,0.8616,0.7606,0.7417,0.7794
near,oov_25,random,30,0.344,0.332,0.3562,0.1011,0.0856,0.1178
near,oov_50,centroid,30,0.8467,0.8316,0.8609,0.6406,0.61,0.6683
near,oov_50,exemplar_knn_k3,30,0.8331,0.816,0.8489,0.6861,0.6606,0.7111
near,oov_50,kcentroid_k2,30,0.8358,0.8191,0.8516,0.6189,0.5889,0.6461
near,oov_50,logreg,30,0.8429,0.8267,0.858,0.6972,0.6678,0.7244
near,oov_50,linsvm,30,0.8473,0.8316,0.8616,0.6844,0.6533,0.7144
near,oov_50,random,30,0.344,0.332,0.3562,0.1089,0.0922,0.1261
mid,std_nway,centroid,30,0.6542,0.6369,0.6716,0.6528,0.6261,0.6783
mid,std_nway,exemplar_knn_k3,30,0.6502,0.6342,0.6662,0.7183,0.6911,0.745
mid,std_nway,kcentroid_k2,30,0.6531,0.6333,0.6733,0.66,0.6344,0.6861
mid,std_nway,logreg,30,0.6411,0.6176,0.6656,0.7217,0.6983,0.7444
mid,std_nway,linsvm,30,0.6444,0.624,0.6651,0.7272,0.7028,0.7522
mid,std_nway,random,30,0.3289,0.3176,0.34,0.3394,0.3172,0.3622
