sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,c1_accuracy,c1_ci_low,c1_ci_high,mean_margin
11,crocodile,skunk,man,cup,Q1,0.446824,0.478261,random,0.3427,0.3316,0.3533,1.2253
12,cup,plate,bridge,seal,Q1,0.544535,0.2,centroid,0.9529,0.942,0.9631,0.2465
12,cup,plate,bridge,seal,Q1,0.544535,0.2,exemplar_knn_k3,0.9518,0.9433,0.96,0.9479
12,cup,plate,bridge,seal,Q1,0.544535,0.2,logreg,0.9416,0.9258,0.9564,0.4986
12,cup,plate,bridge,seal,Q1,0.544535,0.2,random,0.3256,0.3151,0.3365,1.219
13,house,pickup_truck,dinosaur,shark,Q1,0.463699,0.473684,centroid,0.9569,0.9502,0.9636,0.2906
13,house,pickup_truck,dinosaur,shark,Q1,0.463699,0.473684,exemplar_knn_k3,0.9544,0.9476,0.9613,1.1376
13,house,pickup_truck,dinosaur,shark,Q1,0.463699,0.473684,logreg,0.9496,0.9402,0.9584,0.5955
13,house,pickup_truck,dinosaur,shark,Q1,0.463699,0.473684,random,0.3409,0.3287,0.3522,1.196
14,lamp,shrew,camel,trout,Q1,0.701458,0.6,centroid,0.8153,0.8084,0.8233,0.2668
14,lamp,shrew,camel,trout,Q1,0.701458,0.6,exemplar_knn_k3,0.8091,0.8011,0.818,1.0364
14,lamp,shrew,camel,trout,Q1,0.701458,0.6,logreg,0.8209,0.8122,0.8298,0.5425
14,lamp,shrew,camel,trout,Q1,0.701458,0.6,random,0.3256,0.3156,0.3353,1.2137
15,lion,rabbit,elephant,sweet_pepper,Q1,0.553107,0.241379,centroid,0.8944,0.8804,0.9087,0.3162
15,lion,rabbit,elephant,sweet_pepper,Q1,0.553107,0.241379,exemplar_knn_k3,0.8816,0.866,0.8969,1.222
15,lion,rabbit,elephant,sweet_pepper,Q1,0.553107,0.241379,logreg,0.9002,0.8827,0.9182,0.6531
15,lion,rabbit,elephant,sweet_pepper,Q1,0.553107,0.241379,random,0.3336,0.3227,0.3444,1.2232
16,lizard,snail,skunk,aquarium_fish,Q1,0.515372,0.416667,centroid,0.8996,0.8851,0.9133,0.2933
