sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,episode_id,c1,margin
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,14,0.7933,0.593
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,14,0.3667,1.1636
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,15,0.8533,0.2497
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,15,0.8667,1.0202
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,15,0.8533,0.5079
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,15,0.34,1.4623
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,16,0.8533,0.2008
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,16,0.8267,0.9652
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,16,0.86,0.4508
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,16,0.3667,1.273
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,17,0.8333,0.2289
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,17,0.8,1.081
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,17,0.8267,0.4889
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,17,0.34,1.2768
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,18,0.8,0.2613
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,18,0.7667,1.1532
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,18,0.82,0.5816
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,18,0.3733,1.3296
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,19,0.8,0.2776
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,19,0.8133,1.2242
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,19,0.8067,0.6113
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,19,0.3267,1.1573
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,20,0.7933,0.2042
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,20,0.7467,1.0354
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,20,0.7733,0.4591
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,20,0.2933,1.2677
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,21,0.8267,0.2537
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,21,0.7867,1.1241
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,21,0.8133,0.5722
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,21,0.38,1.1236
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,22,0.8,0.1863
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,22,0.7667,0.8525
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,logreg,22,0.7933,0.4426
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,random,22,0.3667,1.2167
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,centroid,23,0.8267,0.2487
0,beaver,ray,cloud,possum,Q1,0.515666,0.578947,exemplar_knn_k3,23,0.8333,1.1123
