experiment_id,round,agent_id,label,cohesion,vector_norm,shift_from_previous,distance_to_initial,n_points
exp_003b,9,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,9,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,9,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,9,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,9,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,9,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,9,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,9,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,10,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,10,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,10,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,10,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,10,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,10,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,10,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,10,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,10,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,11,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,11,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,11,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,11,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,11,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,11,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,11,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,11,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,11,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,12,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,12,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,12,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,12,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,12,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,12,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,12,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,12,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,12,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,13,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,13,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,13,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,13,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,13,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,13,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,13,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,13,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,13,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,14,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,14,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,14,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,14,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,14,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,14,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,14,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,14,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,14,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,15,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,15,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,15,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,15,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,15,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,15,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,15,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,15,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,15,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,16,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,16,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,16,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,16,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,16,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,16,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,16,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,16,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,16,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,17,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,17,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,17,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,17,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,17,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,17,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,17,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,17,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,17,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,18,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,18,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,18,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,18,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,18,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,18,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,18,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,18,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,18,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,19,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,19,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,19,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,19,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,19,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,19,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,19,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,19,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,19,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,20,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,20,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,20,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,20,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,20,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,20,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,20,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,20,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,20,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,21,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,21,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,21,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,21,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,21,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,21,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,21,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,21,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,21,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,22,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,22,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,22,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,22,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,22,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,22,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,22,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,22,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,22,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,23,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,23,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,23,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,23,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,23,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,23,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,23,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,23,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,23,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,24,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,24,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,24,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,24,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,24,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,24,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,24,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
exp_003b,24,agent_02,mimsy,0.729597,0.729597,0.0,0.0,5
exp_003b,24,agent_02,vorpal,0.72547,0.72547,0.0,0.0,5
exp_003b,25,agent_00,slithy,0.653264,0.653264,0.0,0.0,5
exp_003b,25,agent_00,mimsy,0.721073,0.721072,0.0,0.0,5
exp_003b,25,agent_00,vorpal,0.716356,0.716356,0.0,0.0,5
exp_003b,25,agent_01,slithy,0.630222,0.630222,0.0,0.0,5
exp_003b,25,agent_01,mimsy,0.746996,0.746996,0.0,0.0,5
exp_003b,25,agent_01,vorpal,0.729792,0.729792,0.0,0.0,5
exp_003b,25,agent_02,slithy,0.690002,0.690002,0.0,0.0,5
