tier,learner,ways,shots,pool_type,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high
far,exemplar_knn_k5,5,3,std_nway,30,0.2,0.4689,0.4565,0.4809,0.4877,0.4647,0.511,0.3987,0.3836,0.4142
far,exemplar_knn_k5,5,5,std_nway,30,0.2,0.4564,0.4473,0.4664,0.5157,0.493,0.5383,0.7211,0.6891,0.7499
far,kcentroid_k1,3,1,std_nway,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196
far,kcentroid_k1,3,10,std_nway,30,0.3333,0.5049,0.4829,0.5276,0.5006,0.47,0.53,0.1504,0.1408,0.1597
far,kcentroid_k1,3,20,std_nway,30,0.3333,0.4271,0.4015,0.4542,0.4322,0.4083,0.4567,0.1229,0.1126,0.133
far,kcentroid_k1,3,3,std_nway,30,0.3333,0.5456,0.5273,0.5642,0.555,0.5266,0.5844,0.1349,0.1265,0.1435
far,kcentroid_k1,3,5,std_nway,30,0.3333,0.5289,0.5067,0.5522,0.5344,0.5116,0.5545,0.1485,0.1369,0.1598
far,kcentroid_k1,5,1,std_nway,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103
far,kcentroid_k1,5,10,std_nway,30,0.2,0.4289,0.4173,0.4409,0.417,0.395,0.4383,0.1319,0.1267,0.1365
far,kcentroid_k1,5,20,std_nway,30,0.2,0.356,0.3452,0.3664,0.3407,0.326,0.3567,0.1183,0.111,0.1247
far,kcentroid_k1,5,3,std_nway,30,0.2,0.48,0.4681,0.492,0.467,0.447,0.487,0.1234,0.1182,0.1286
far,kcentroid_k1,5,5,std_nway,30,0.2,0.4592,0.4512,0.4675,0.47,0.451,0.4893,0.1332,0.1271,0.1387
far,kcentroid_k2,3,1,std_nway,30,0.3333,0.5227,0.5013,0.5434,0.5161,0.4922,0.5406,0.1108,0.1029,0.1196
far,kcentroid_k2,3,10,std_nway,30,0.3333,0.5064,0.4853,0.5296,0.5072,0.4766,0.5389,0.1483,0.1384,0.1576
far,kcentroid_k2,3,20,std_nway,30,0.3333,0.4238,0.3978,0.4484,0.4333,0.4094,0.4572,0.1261,0.1153,0.1364
far,kcentroid_k2,3,3,std_nway,30,0.3333,0.5442,0.5251,0.5633,0.5483,0.5244,0.5739,0.1309,0.122,0.1399
far,kcentroid_k2,3,5,std_nway,30,0.3333,0.5256,0.5049,0.5462,0.5256,0.5044,0.5478,0.1458,0.1351,0.1568
far,kcentroid_k2,5,1,std_nway,30,0.2,0.4513,0.4391,0.4641,0.4613,0.4373,0.4847,0.1051,0.1002,0.1103
far,kcentroid_k2,5,10,std_nway,30,0.2,0.4259,0.4144,0.4381,0.4243,0.402,0.446,0.133,0.1279,0.1379
far,kcentroid_k2,5,20,std_nway,30,0.2,0.358,0.3472,0.37,0.3497,0.3353,0.3657,0.1199,0.1129,0.1265
far,kcentroid_k2,5,3,std_nway,30,0.2,0.476,0.4649,0.4884,0.4653,0.4433,0.4883,0.1218,0.1163,0.1272
far,kcentroid_k2,5,5,std_nway,30,0.2,0.4672,0.4579,0.4765,0.473,0.452,0.494,0.131,0.1257,0.1361
